aX,aY,aZ
8,-10,29
9,-6,44
14,-5,38
15,1,40
9,3,35
3,-1,35
-3,3,15
3,7,-2
6,10,-14
-2,11,-23
-9,9,-25
7,9,-26
9,-1,-37
-2,-1,-53
1,-5,-65
-19,-7,-75
-32,-12,-91
43,-33,-57
-114,-11,-84
-56,-20,-55
-56,-11,-38
-10,-5,2
-11,-9,11
-2,-4,-16
-7,5,-6
-7,5,-6
-11,0,2
-7,-5,13
-6,-4,20
1,-2,18
0,-4,12
-2,-3,2
18,0,3
12,1,7
14,12,26
11,17,37
2,16,42
10,19,35
9,14,22
19,14,10
8,10,11
17,15,18
14,12,28
9,16,36
14,18,40
14,17,29
29,20,18
22,12,15
21,10,11
13,8,15
12,6,19
17,12,10
4,7,10
-2,7,2
2,1,-2
-5,-5,-2
-5,-5,0
-4,-3,-6
-6,-8,-11
-9,-11,-12
-9,-11,-11
-11,-11,-7
-9,-9,-10
-4,-11,-11
-8,-6,-12
-5,-4,-12
-2,-3,-7
-2,-3,-7
-6,-5,-4
-3,-4,-1
-1,-4,-1
-2,-1,1
-1,1,2
-1,1,0
1,1,-3
-1,-2,-2
-1,-1,1
2,2,3
0,3,3
2,3,4
0,3,0
1,2,0
-1,0,-1
1,0,1
-2,0,-1
-1,-1,-1
0,-2,1
0,1,-1
0,-1,3
0,1,3
3,0,-3
-2,0,0
0,-4,0
-1,-1,-2
-2,-2,2
0,1,1
2,2,1
0,3,-1
0,-1,1
0,1,-1

11,-2,39
10,7,36
9,14,44
7,14,49
6,6,46
9,9,30
5,8,21
9,10,10
10,9,9
10,10,1
-5,-8,-25
15,-24,-77
-4,-33,-85
-30,-44,-110
-40,-42,-108
-46,-42,-90
-49,-31,-65
-41,-11,-49
-28,-6,-33
-10,-1,-16
-16,12,-26
-21,6,-9
5,5,5
-26,-2,6
-22,-5,2
-27,-9,-2
-7,-10,-6
-8,-10,0
-6,-9,6
0,-6,17
0,0,23
13,12,34
20,17,31
22,21,30
20,22,29
23,21,27
21,20,32
26,18,41
17,27,48
15,29,44
26,20,25
4,11,10
-40,-25,-15
31,-1,7
-19,-29,-1
47,8,37
26,16,29
0,-6,32
-7,-12,14
-10,-9,1
3,-4,-8
10,-1,-1
8,7,-5
7,8,-6
1,3,0
1,1,2
-1,-5,-2
-2,-6,-5
0,-5,-7
-1,-8,-9
-6,-7,-8
-6,-8,-10
-4,-6,-8
-4,-6,-7
-4,-2,-3
-2,1,-2
3,4,-2
2,2,-2
2,5,-4
0,4,-3
1,1,-5
-4,-3,-3
-4,-3,-6
-3,1,3
1,2,1
2,1,-1
1,2,-2
1,2,1
1,1,2
0,2,2
1,-1,3
1,0,-3
0,-1,-3
1,-2,-1
0,1,1
2,2,3
2,3,2
1,1,-2
-1,-2,-3
0,-2,1
-2,-2,1
0,0,-2
-2,-4,-1
-1,-3,1
0,0,1
-2,1,1
3,3,0
0,2,-2
2,2,1
0,-1,-3

6,-2,40
3,-1,53
12,4,63
24,9,52
24,22,29
21,29,11
17,25,-5
12,14,-9
-1,11,-15
-5,-2,-22
-15,-18,-42
-19,-25,-57
-15,-28,-60
-25,-25,-61
-24,-23,-52
-26,-20,-54
-28,-17,-56
-27,-22,-53
-14,-18,-56
-30,-12,-59
-34,-10,-28
-32,-2,0
-28,4,13
-23,7,12
-15,3,7
-13,0,3
-3,-2,1
-2,-4,-4
2,-2,2
2,-1,10
12,6,20
10,8,23
15,13,30
14,12,33
18,14,35
24,16,27
24,16,23
23,14,22
20,17,27
19,13,32
27,19,33
16,17,34
7,13,33
15,5,29
9,2,14
6,-5,-1
7,-7,-4
10,-7,-1
6,1,6
-4,1,10
-1,-1,9
-2,-3,8
-3,-4,1
2,-5,1
3,-2,2
2,0,-3
1,3,-8
-3,0,-12
-8,-5,-9
-5,-7,-9
-6,-6,-9
-5,-8,-12
-6,-7,-9
-6,-8,-9
-3,-3,-8
-3,-5,-12
-6,-4,-12
-6,-3,-7
-2,-2,-5
0,0,1
-1,0,4
0,2,3
1,6,4
4,4,-2
1,2,-4
0,0,0
-1,-2,2
-2,-2,3
-1,-2,1
2,1,0
1,2,3
2,4,3
3,3,-1
1,1,2
3,4,1
0,-4,-2
-2,-1,2
-1,0,2
-2,-3,3
-1,0,-3
-3,-4,-1
1,0,1
2,1,0
2,4,0
2,-1,-1
-3,-1,-2
-2,-5,-2
0,0,1
1,-1,1
0,1,-1

7,2,39
5,-2,53
19,-7,59
21,2,50
23,19,34
32,29,18
25,31,11
20,23,4
2,15,-10
-11,-4,-31
-10,-22,-81
-17,-31,-87
-32,-53,-87
-31,-18,-76
-27,-16,-68
-26,-13,-52
-27,-7,-41
-30,-2,-30
-24,1,-27
-21,6,-22
-26,1,-13
-26,-5,-12
-26,-10,-4
-23,-17,-4
-23,-21,-4
-8,-18,-1
-13,-15,1
-7,-5,11
2,-2,19
6,3,18
13,10,23
19,13,23
19,18,23
23,18,20
24,17,18
22,14,20
28,13,18
33,12,20
26,13,25
20,15,40
13,16,46
19,19,36
24,20,16
18,17,10
25,5,11
10,2,17
2,-10,27
-10,-13,27
8,-11,25
-11,-1,8
-7,-4,-4
-2,-6,-8
0,-5,-11
0,2,-9
-2,4,-6
-1,4,-9
-10,-2,-8
-12,-10,-10
-9,-13,-18
-11,-13,-18
-7,-11,-13
-7,-7,-13
-3,-6,-7
-3,-2,-8
-3,-2,-6
-2,-1,0
-2,2,0
-3,-1,1
-3,2,0
1,1,0
-1,2,0
1,1,2
1,2,4
0,2,1
0,2,0
2,2,1
2,4,-1
1,5,-2
3,3,-2
2,2,-2
0,0,0
1,0,2
1,0,0
-1,2,-1
-2,-2,-2
-1,-1,1
1,1,0
0,-2,0
-1,-1,1
1,2,0
0,1,1
1,1,1
-1,0,0
1,-1,0
1,1,2
2,3,1
1,-2,1
-2,-2,2
0,2,-1
1,0,-1

3,-6,48
1,-20,59
7,-9,68
11,9,59
24,22,39
19,33,7
18,29,-17
11,21,-29
6,8,-38
-6,-6,-33
-8,-15,-36
-19,-28,-55
-16,-31,-61
-29,-34,-71
-32,-32,-74
-18,-23,-75
-23,-12,-65
-21,-2,-70
-27,-6,-52
-33,-8,-26
-23,5,-3
-19,6,-1
-17,2,-3
-16,-6,-1
-11,-8,3
-6,-5,5
-1,-2,8
3,2,12
9,4,16
14,9,24
22,12,30
25,15,31
23,17,32
22,14,38
23,14,45
24,17,42
27,16,37
31,16,28
24,16,33
22,16,36
13,17,29
12,12,38
10,5,26
5,-3,5
-3,-24,1
-23,-26,-1
-25,-28,4
-14,-15,1
0,-4,-2
9,6,-5
9,18,3
10,14,-7
-2,4,-20
-2,-6,-26
-10,-10,-21
-9,-13,-14
-7,-12,-11
-10,-7,-10
-8,-8,-6
-6,-8,-4
-6,-5,-7
-1,-2,-7
-2,4,-5
-1,7,-3
1,8,0
0,6,-1
1,4,0
1,3,-1
-2,3,3
-2,0,4
1,2,-1
1,2,1
1,3,-1
1,1,-2
2,-1,-3
0,-2,0
-1,-4,1
-1,-2,1
-2,0,-1
-1,-1,2
0,0,3
-1,2,1
2,-2,-1
-1,-1,-2
0,-2,1
0,-2,0
1,-1,-2
-1,0,-2
0,0,1
0,0,5
2,2,3
0,1,0
-1,0,-1
0,-4,0
-1,0,-1
-3,-4,1
2,1,0
0,1,1
0,1,1
0,1,1

11,-15,41
19,-33,70
19,-17,81
28,13,90
30,43,94
34,52,76
32,31,33
15,11,-27
-4,-14,-92
3,-29,-127
-37,-40,-127
-39,-24,-125
-42,-30,-95
-36,-21,-68
-32,-13,-46
-28,-4,-44
-20,4,-56
-30,11,-46
-32,13,-22
-32,7,7
-27,2,8
-19,-2,7
-10,-7,0
-7,-11,3
-6,-13,16
0,-9,23
1,-6,27
9,1,22
12,1,22
17,2,27
21,6,31
23,3,34
27,11,34
27,7,41
33,10,46
36,22,55
19,29,59
22,34,53
23,39,33
10,13,10
8,-9,-1
16,-22,-13
4,-21,-2
-4,-18,13
-12,-3,17
-14,7,18
0,7,11
4,6,-1
-3,-4,-9
1,5,-13
1,8,-7
-6,2,-7
-9,-5,-11
-13,-16,-14
-11,-16,-14
-9,-15,-11
-7,-11,-11
-4,-4,-10
-2,-2,-7
0,0,-5
2,3,-2
-1,-2,1
-2,0,1
-4,0,-2
-4,-3,1
0,-1,2
-1,1,-2
2,2,-6
-4,1,-3
-1,1,2
0,1,2
1,5,0
0,3,-1
2,0,-3
-1,0,-2
-2,1,-1
0,0,-1
-1,-1,1
0,-1,-2
0,1,0
-1,0,1
1,0,-1
1,0,-1
0,1,-1
-2,-2,0
0,-2,2
-1,-1,0
1,0,3
0,-1,2
1,1,-1
-1,2,1
-1,1,3
2,-1,1
3,1,-1
-1,1,-3
7,1,-1
0,-2,-1
0,0,1
