aX,aY,aZ
-21,-3,19
-26,-1,9
-28,0,-5
-46,1,-5
-43,-7,-12
-16,-7,-26
15,-4,-16
43,5,15
50,2,-4
23,-33,-50
50,-36,-36
93,10,6
93,37,61
70,9,61
24,5,47
-8,8,33
-15,3,-30
-48,-21,-84
-45,-15,-63
-38,3,8
-41,2,21
-45,-16,8
-43,-18,-3
-46,19,9
-43,30,27
-5,3,19
-2,-4,16
2,-16,9
8,4,1
19,13,6
16,10,9
22,7,3
19,11,0
12,7,-11
5,0,-12
5,4,-3
4,6,1
3,3,-1
-1,-3,-6
-4,-4,-5
-2,-2,-5
1,-1,-1
0,-3,3
-1,-3,4
1,1,-1
6,1,1
3,1,5
2,2,4
0,1,0
-1,0,-2

-23,3,12
-29,2,21
-31,-3,14
-34,-8,2
-40,-14,-9
-23,-11,-12
11,-8,-21
30,3,-29
54,1,-43
98,-50,-58
86,1,-2
114,31,54
81,20,111
22,-2,74
-14,-16,39
-22,1,-12
-32,7,-86
-42,-30,-76
-45,-5,-3
-49,15,19
-53,-4,-1
-60,-9,-3
-47,4,8
-33,17,15
-20,9,11
-10,-3,19
9,-5,21
21,-5,8
18,9,3
25,13,7
15,14,15
17,12,11
11,6,1
5,2,-8
3,1,-8
6,3,-6
2,4,-3
2,-2,-2
0,-4,-6
-1,-4,-7
1,1,-4
-1,-1,3
1,-3,0
0,-3,0
1,-1,2
2,1,3
1,2,3
3,1,1
0,0,3
1,1,2

-21,8,13
-28,7,25
-47,3,19
-41,-14,-22
-24,-32,-40
-5,-41,-40
13,-16,-25
28,9,-3
60,18,9
84,-7,2
69,-1,4
42,-15,0
55,-26,22
40,19,31
23,24,14
14,17,50
-1,-8,9
-33,-8,-59
-35,-17,-74
-39,-20,-39
-50,8,-2
-43,15,11
-37,10,11
-43,5,11
-36,-6,11
-10,0,11
0,1,11
4,6,15
15,-3,11
18,-1,8
12,0,7
14,2,3
11,6,4
5,7,3
2,-1,-11
2,0,-9
-2,3,-7
0,1,-5
2,6,-6
-1,3,-4
-3,2,-2
-1,-2,-2
1,-4,-3
1,-3,0
3,-2,1
2,0,3
2,0,3
2,-2,2
2,-1,3
-1,-3,1

-26,10,19
-35,7,26
-49,9,43
-60,-8,15
-41,-38,-38
0,-57,-76
27,-13,-81
51,22,-48
114,2,-5
127,-3,23
112,8,32
111,-30,40
42,-11,107
-50,11,103
-52,60,-29
-56,23,-127
-72,-44,-37
